company_name,ticker,cik,filing_date,source_url
Lehman Brothers Holdings Inc,LEH,0000806085,2008-09-15,https://en.wikipedia.org/wiki/Lehman_Brothers
Washington Mutual Inc,WM,0000933136,2008-09-26,https://en.wikipedia.org/wiki/Washington_Mutual
Circuit City Stores Inc,CC,0000018926,2008-11-10,https://en.wikipedia.org/wiki/Circuit_City
General Motors Corp,GM,0000040730,2009-06-01,https://en.wikipedia.org/wiki/General_Motors_Chapter_11_reorganization
Blockbuster Inc,BBI,0001085734,2010-09-23,https://en.wikipedia.org/wiki/Blockbuster_LLC
RadioShack Corp,RSH,0000096289,2015-02-05,https://en.wikipedia.org/wiki/RadioShack
Toys R Us Inc,TOYS,0001005414,2017-09-18,https://en.wikipedia.org/wiki/Toys_%22R%22_Us
Hertz Global Holdings Inc,HTZ,0001657853,2020-05-22,https://en.wikipedia.org/wiki/Hertz
JCPenney Company Inc,JCP,0001166126,2020-05-15,https://en.wikipedia.org/wiki/JCPenney
Party City Holdco Inc,PRTY,0001592058,2023-01-17,https://en.wikipedia.org/wiki/Party_City
Bed Bath Beyond Inc,BBBY,0000886158,2023-04-23,https://en.wikipedia.org/wiki/Bed_Bath_%26_Beyond
Rite Aid Corp,RAD,0000084129,2023-10-15,https://en.wikipedia.org/wiki/Rite_Aid
